Year,Population
1950,370
1951,376
1952,383
1953,390
1954,397
1955,404
1956,412
1957,420
1958,428
1959,437
1960,446
1961,455
1962,464
1963,474
1964,485
1965,496
1966,507
1967,519
1968,530
1969,543
1970,555
1971,568
1972,581
1973,595
1974,608
1975,622
1976,636
1977,649
1978,663
1979,676
1980,690
1981,705
1982,720
1983,736
1984,752
1985,768
1986,784
1987,801
1988,817
1989,834
1990,851
1991,867
1992,883
1993,899
1994,916
1995,932
1996,949
1997,965
1998,982
1999,998
